"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        A super curator can reupload a dataset to a non-owned collection
        ","9","test__can_reupload_dataset_as_super_curator","tests.unit.backend.layers.api","Tue Sep 23 22:26:10 UTC 2025","passed","Tue Sep 23 22:26:10 UTC 2025","TestCollectionUploadLinkCurators","test_portal_api","",""
"","3","test__link_fake_collection__403","tests.unit.backend.layers.api","Tue Sep 23 22:26:10 UTC 2025","passed","Tue Sep 23 22:26:10 UTC 2025","TestCollectionPostUploadLink","test_portal_api","",""
"","2","test_create_migration_revision__published_with_revision","tests.unit.processing.schema_migration","Tue Sep 23 22:27:22 UTC 2025","passed","Tue Sep 23 22:27:22 UTC 2025","TestCollectionMigrate","test_collection_migrate","",""
"","4","test__generate_s3_credentials__Not_Owner","tests.unit.backend.layers.api","Tue Sep 23 22:26:04 UTC 2025","passed","Tue Sep 23 22:26:04 UTC 2025","TestS3Credentials","test_curation_api","",""
"
        `publish_collection_version` should fail if called on a collection version with datasets that have mismatching
        schema versions
        ","6","test_publish_version_fails_on_mismatching_dataset_schema_versions","tests.unit.backend.layers.business","Tue Sep 23 22:26:11 UTC 2025","passed","Tue Sep 23 22:26:11 UTC 2025","TestCollectionOperations","test_business","",""
"","2","test_create_migration_revision__private","tests.unit.processing.schema_migration","Tue Sep 23 22:27:22 UTC 2025","passed","Tue Sep 23 22:27:22 UTC 2025","TestCollectionMigrate","test_collection_migrate","",""
"","7","test__update_public_collection_verify_fix_consortia_sort_order_OK","tests.unit.backend.layers.api","Tue Sep 23 22:26:05 UTC 2025","passed","Tue Sep 23 22:26:05 UTC 2025","TestPatchCollectionID","test_curation_api","",""
"A cellxgene public dataset url must be part of a version of the canonical dataset","17","test_reginest_published_anndata_dataset__not_part_of_canonical_dataset","tests.unit.backend.layers.business","Tue Sep 23 22:26:10 UTC 2025","passed","Tue Sep 23 22:26:10 UTC 2025","TestUpdateCollectionDatasets","test_business","",""
"","3","test__update_collection__Not_Owner","tests.unit.backend.layers.api","Tue Sep 23 22:26:05 UTC 2025","passed","Tue Sep 23 22:26:05 UTC 2025","TestPatchCollectionID","test_curation_api","",""
"","13","test_update_metadata__with_atac_fragment","tests.unit.processing","Tue Sep 23 22:27:29 UTC 2025","passed","Tue Sep 23 22:27:29 UTC 2025","TestUpdateMetadataHandler","test_dataset_metadata_update","",""
"Check that all artifacts are deleted for the given cases.","1","test_cleanup_artifacts__None_OK","tests.unit.processing","Tue Sep 23 22:27:34 UTC 2025","passed","Tue Sep 23 22:27:34 UTC 2025","TestCleanupArtifacts","test_handle_error","",""
"Test multi-pass consolidation with many fragments.","520","test_consolidate_tiledb_multi_pass_chunking","tests.unit.processing","Tue Sep 23 22:27:33 UTC 2025","passed","Tue Sep 23 22:27:34 UTC 2025","TestH5ADDataFile","test_h5ad_data_file","",""
"","1","test_type_inference[parameters37]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_type_conversion_utils","",""
"The 'revising_in' attribute is None for collections which lack a revision","10","test__get_collections_with_auth__OK_2","tests.unit.backend.layers.api","Tue Sep 23 22:26:04 UTC 2025","passed","Tue Sep 23 22:26:04 UTC 2025","TestGetCollections","test_curation_api","",""
"","10","test__delete_public_dataset_returns__405","tests.unit.backend.layers.api","Tue Sep 23 22:26:09 UTC 2025","passed","Tue Sep 23 22:26:09 UTC 2025","TestDataset","test_portal_api","",""
"","2","test__filter_request_with_query_key_not_specified_in_api_spec_returns_400","tests.unit.backend.wmg.api","Tue Sep 23 22:26:14 UTC 2025","passed","Tue Sep 23 22:26:14 UTC 2025","WmgApiV2Tests","test_v2","",""
"","0","test__link__INVALID[protocol-.com]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"","176","test__to_cxg__with_sparse_column_encoding","tests.unit.processing","Tue Sep 23 22:27:33 UTC 2025","passed","Tue Sep 23 22:27:33 UTC 2025","TestH5ADDataFile","test_h5ad_data_file","",""
"","4","test_patch_private_collection_dataset_invalid_collection_404","tests.unit.backend.layers.api","Tue Sep 23 22:26:06 UTC 2025","passed","Tue Sep 23 22:26:06 UTC 2025","TestPatchDataset","test_curation_api","",""
"","0","test_invalid_email[email@place.]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"","14","test__get_only_private_collections_with_auth__OK","tests.unit.backend.layers.api","Tue Sep 23 22:26:04 UTC 2025","passed","Tue Sep 23 22:26:04 UTC 2025","TestGetCollections","test_curation_api","",""
"","23","test__convert_matrices_to_cxg_arrays__dense_array_writes_successfully","tests.unit.processing","Tue Sep 23 22:27:28 UTC 2025","passed","Tue Sep 23 22:27:28 UTC 2025","TestCxgGenerationUtils","test_cxg_generation_utils","",""
"Test that TileDB config objects are properly created from dictionaries.","55","test_consolidate_tiledb_config_validation","tests.unit.processing","Tue Sep 23 22:27:33 UTC 2025","passed","Tue Sep 23 22:27:33 UTC 2025","TestH5ADDataFile","test_h5ad_data_file","",""
"","3","test__delete_key__404","tests.unit.backend.layers.auth","Tue Sep 23 22:26:10 UTC 2025","passed","Tue Sep 23 22:26:10 UTC 2025","TestKeys","test_auth_keys","",""
"","1","test_anndata_validation_failure[{""anndata"": 1234}]","tests.unit.backend.common","Tue Sep 23 22:26:20 UTC 2025","passed","Tue Sep 23 22:26:20 UTC 2025","","test_manifest","",""
"
        Asserts a CrossrefFetchException if the GET request fails for any reason
        ","2","test__provider_throws_exception_if_request_fails","tests.unit.backend.common","Tue Sep 23 22:26:20 UTC 2025","passed","Tue Sep 23 22:26:20 UTC 2025","TestCrossrefProvider","test_crossref_provider","",""
"","0","test__release_only_properly_formatted_semvar__returns_true","tests.unit.backend.layers.utils","Tue Sep 23 22:26:19 UTC 2025","passed","Tue Sep 23 22:26:19 UTC 2025","TestSemvarUtils","test_semvar_utils","",""
"","15","test_update_metadata__invalid_artifact_status","tests.unit.processing","Tue Sep 23 22:27:29 UTC 2025","passed","Tue Sep 23 22:27:29 UTC 2025","TestUpdateMetadataHandler","test_dataset_metadata_update","",""
"","0","test__link__INVALID[doi-https://]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"","327","test__query_non_indexed_dim_multi_valued__returns_correct_result","tests.unit.backend.wmg.api.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","ExpressionDotPlotTest","test_expression_dotplot","",""
"Test _get_fragment_file_path with S3 file path.","2","test__get_fragment_file_path_s3_file","tests.unit.processing","Tue Sep 23 22:27:28 UTC 2025","passed","Tue Sep 23 22:27:28 UTC 2025","TestATACDataProcessor","test_atac_processing_utils","",""
"","14","test__get_published_collection_verify_body_is_reshaped_correctly__OK","tests.unit.backend.layers.api","Tue Sep 23 22:26:05 UTC 2025","passed","Tue Sep 23 22:26:05 UTC 2025","TestGetCollectionID","test_curation_api","",""
"","1","test_close_ready_for_prod_with_issues_to_close","tests.unit.scripts","Tue Sep 23 22:25:54 UTC 2025","passed","Tue Sep 23 22:25:54 UTC 2025","TestCloseReadyForProd","test_zenhub_close","",""
"
        Given a canonical collection with a published version and an unpublished version where is_auto_version is True,
        creating another unpublished collection version where is_auto_version is True will fail.
        ","15","test_create_collection_version_multiple_auto_versions_true_fails","tests.unit.backend.layers.business","Tue Sep 23 22:26:11 UTC 2025","passed","Tue Sep 23 22:26:11 UTC 2025","TestCollectionOperations","test_business","",""
"","0","test_rollback__unsupported_rollback_type","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_rollback","",""
"","11609","test__tissue_metadata_generator","tests.unit.backend.cellguide.pipeline","Tue Sep 23 22:27:36 UTC 2025","passed","Tue Sep 23 22:27:48 UTC 2025","TestMetadataGenerator","test_metadata_generator","",""
"The 'revising_in' attribute is equal to the id of the revision Collection","14","test__get_collections_with_auth__OK_3","tests.unit.backend.layers.api","Tue Sep 23 22:26:04 UTC 2025","passed","Tue Sep 23 22:26:04 UTC 2025","TestGetCollections","test_curation_api","",""
"","41","test_value_of_existing_secret_returns_value","tests.unit.backend.layers.utils","Tue Sep 23 22:26:19 UTC 2025","passed","Tue Sep 23 22:26:19 UTC 2025","TestAwsSecret","test_aws_secret","",""
"","0","test_type_inference[parameters60]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_type_conversion_utils","",""
"","0","test_delete_artifacts_CollectionDeleteException_with_H5AD","tests.unit.backend.layers.business","Tue Sep 23 22:26:11 UTC 2025","passed","Tue Sep 23 22:26:11 UTC 2025","TestDeleteDataset","test_business","",""
"
        Calling PUT /datasets/:dataset_id should fail with 403 Unauthorized
        if the authenticated user is not the owner of a collection
        ","9","test__from_link__Not_Owner","tests.unit.backend.layers.api","Tue Sep 23 22:26:07 UTC 2025","passed","Tue Sep 23 22:26:07 UTC 2025","TestPutLink","test_curation_api","",""
"
    Test that the `rollup` function correctly accumulates (or rolls up) gene-expression
    values FOR EACH expressed gene and cell count values up the cell type ANCESTOR paths
    grouped by (tissue_ontology_term_id, cell_type_ontology_term_id, <compare_dimension>).

    The input:

    1. A cell type ontology subgraph consisting of 4 cell types.

    CL:0000127
    ├── CL:0000644
    ├── CL:0002605
    └── CL:0002627

    2. A gene expression dataframe consisting of expression numeric values for each
    (gene_ontology_term_id, tissue_ontology_term_id, cell_type_ontology_term_id, <compare_dimension>) tuple.
    3. The gene expression dataframe also holds total cell counts per tissue_ontology_term_id.
    This value is held in a column called `n_cells_tissue`.
    6. A cell counts dataframe that consists of cell counts for each
    (tissue_ontology_term_id, cell_type_ontology_term_id, <compare_dimension>) tuple.
    7. We set the `n_cells_tissue` column values to 1000 for all rows
    in the gene expression dataframe.
    8. We set all other numeric column values to `1` in the gene expression dataframe.

    The expected output:

    1. A rolled up gene expression dataframe.
    2. A rolled up cell counts dataframe.
    3. Assert that `n_cells_tissue` column value in the rolled up gene expression dataframe
    does not change for all rows because it should not be rolled up the cell type ontology
    ancestor paths.
    4. Assert that other numeric column values (i.e the columns that are not `n_cells_tissue`)
    in the rolled up gene expression dataframe hold the correct rolled up values.
    5. Assert that the cell counts in the rolled up cell counts dataframe hold the correct
    rolled up values.
    ","20","test__rollup[no_compare_dim_one_ancestor_cell_type_missing_in_one_tissue_but_exists_in_all_others-input_cell_counts_df1-expected_cell_counts_df1-input_gene_expr_df1-expected_gene_expr_df1]","tests.unit.backend.wmg.api.common","Tue Sep 23 22:26:13 UTC 2025","passed","Tue Sep 23 22:26:13 UTC 2025","","test_rollup","",""
"","1","test_type_inference[parameters75]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_type_conversion_utils","",""
"","2","test__get_public_collection_verify_consortia_sorted__OK_1","tests.unit.backend.layers.api","Tue Sep 23 22:26:05 UTC 2025","passed","Tue Sep 23 22:26:05 UTC 2025","TestGetCollectionID","test_curation_api","",""
"","0","test_sanitize_api_query_dict[input_query3-expected_sanitized_query3]","tests.unit.backend.wmg.api.common","Tue Sep 23 22:26:13 UTC 2025","passed","Tue Sep 23 22:26:13 UTC 2025","","test_wmg_api_helpers","",""
"","30","test_get_dataset_in_a_collection","tests.unit.backend.layers.api","Tue Sep 23 22:26:05 UTC 2025","passed","Tue Sep 23 22:26:05 UTC 2025","TestGetDatasets","test_curation_api","",""
"
        A collection updated with a new DOI and containing datasets should trigger artifact updates to update citation
        for each dataset
        ","23","test_update_collection_change_doi__trigger_dataset_artifact_updates","tests.unit.backend.layers.business","Tue Sep 23 22:26:10 UTC 2025","passed","Tue Sep 23 22:26:10 UTC 2025","TestUpdateCollection","test_business","",""
"","0","test__link__OK[raw_data-https://www.google.com]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"","10","test__post_token__201","tests.unit.backend.layers.api","Tue Sep 23 22:26:08 UTC 2025","passed","Tue Sep 23 22:26:08 UTC 2025","TestAuthToken","test_curation_api","",""
"","1","test_type_inference[parameters64]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_type_conversion_utils","",""
"Test _process_all_chromosomes() processes fragments from all chromosomes.","57","test__process_all_chromosomes[cell_type_mapping0-invalid_fragment_coordinates4]","tests.unit.processing","Tue Sep 23 22:27:23 UTC 2025","passed","Tue Sep 23 22:27:23 UTC 2025","TestATACDataProcessor","test_atac_processing_utils","",""
"
        Test that datasets that do not appear in the processed_datasets variable in log_errors_and_cleanup are skipped
        ","2","test_skip_unprocessed_datasets","tests.unit.processing.schema_migration","Tue Sep 23 22:27:22 UTC 2025","passed","Tue Sep 23 22:27:22 UTC 2025","TestLogErrorsAndCleanup","test_log_errors_and_cleanup","",""
"","2","test_filter_schema_version","tests.unit.processing.schema_migration","Tue Sep 23 22:27:22 UTC 2025","passed","Tue Sep 23 22:27:22 UTC 2025","TestCollectionMigrate","test_collection_migrate","",""
"
        The check for changes in Crossref returns None if there is no change between the existing DOI and the
        DOI returned from Crossref.
        ","15","test_update_crossref_metadata_same_doi_returns_none_ok","tests.unit.backend.layers.business","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","TestCollectionOperations","test_business","",""
"","14","test_rollback_published_collections","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_rollback","",""
"Test that the deduplicate_fragments flag is passed to the schema validator.","2","test_deduplicate_fragments_flag_true","tests.unit.processing","Tue Sep 23 22:27:34 UTC 2025","passed","Tue Sep 23 22:27:34 UTC 2025","TestProcessValidateAtac","test_process_validate_atac","",""
"","1287","test_extract_metadata","tests.unit.processing","Tue Sep 23 22:27:29 UTC 2025","passed","Tue Sep 23 22:27:30 UTC 2025","TestAddLabels","test_extract_metadata","",""
"","0","test_type_inference[parameters10]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_type_conversion_utils","",""
"
        In combination with test_api_fetch_calls, checks external API call in search requests (_search_gene_uid)
        ","1","test_api_search_calls","tests.unit.backend.layers.api","Tue Sep 23 22:26:08 UTC 2025","passed","Tue Sep 23 22:26:08 UTC 2025","GeneInfoAPIv1Tests","test_gene_info","",""
"Test create_dataframe_array() with edge case parameters.","2","test__create_dataframe_array_edge_cases","tests.unit.processing","Tue Sep 23 22:27:23 UTC 2025","passed","Tue Sep 23 22:27:23 UTC 2025","TestATACDataProcessor","test_atac_processing_utils","",""
"","54","test__filter_request_with_filter_dims__returns_valid_filter_dims__base_case","tests.unit.backend.wmg.api","Tue Sep 23 22:26:13 UTC 2025","passed","Tue Sep 23 22:26:14 UTC 2025","WmgApiV2Tests","test_v2","",""
"","6","test_with_errors","tests.unit.processing.schema_migration","Tue Sep 23 22:27:22 UTC 2025","passed","Tue Sep 23 22:27:22 UTC 2025","TestLogErrorsAndCleanup","test_log_errors_and_cleanup","",""
"","0","test__release_only_prerelease_properly_formatted_semvar__returns_false","tests.unit.backend.layers.utils","Tue Sep 23 22:26:19 UTC 2025","passed","Tue Sep 23 22:26:19 UTC 2025","TestSemvarUtils","test_semvar_utils","",""
"","1","test_delete_artifacts_delete_cxg","tests.unit.backend.layers.business","Tue Sep 23 22:26:11 UTC 2025","passed","Tue Sep 23 22:26:11 UTC 2025","TestDeleteDataset","test_business","",""
"","10","test__get_collection_with_x_approximate_distribution_none__OK","tests.unit.backend.layers.api","Tue Sep 23 22:26:05 UTC 2025","passed","Tue Sep 23 22:26:05 UTC 2025","TestGetCollectionID","test_curation_api","",""
"A published fragment is used in the manifest, this will pass validation, the artifact will be copied to the
        new dataset version.","2","test_old_fragment","tests.unit.processing","Tue Sep 23 22:27:34 UTC 2025","passed","Tue Sep 23 22:27:34 UTC 2025","TestProcessValidateAtac","test_process_validate_atac","",""
"","0","test_register_neg","tests.unit.backend.layers.utils","Tue Sep 23 22:26:19 UTC 2025","passed","Tue Sep 23 22:26:19 UTC 2025","TestRegisteredSources","test_uri","",""
"","3","test__post_revision__Not_Public","tests.unit.backend.layers.api","Tue Sep 23 22:26:07 UTC 2025","passed","Tue Sep 23 22:26:07 UTC 2025","TestPostRevision","test_curation_api","",""
"Test _process_chromosome_worker handles malformed rows gracefully.","14","test__process_chromosome_worker_malformed_rows","tests.unit.processing","Tue Sep 23 22:27:28 UTC 2025","passed","Tue Sep 23 22:27:28 UTC 2025","TestATACDataProcessor","test_atac_processing_utils","",""
