"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:07 GMT 2022","2","chromium","features/filter/utils.test.ts","filter > Format Number to Scale","","","formats 1600000 to 1.6M",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","5","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Curated Ontology Category > buildNextOntologyCategoryFilters","","","selects node HsapDv:0000002, sibling currently selected",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","2","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Curated Ontology Category > buildNextOntologyCategoryFilters","","","selects leaf HsapDv:0000003, no siblings currently selected",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","17","chromium","common/queries/filter.test.ts","filter > Build Summary Citation","","","builds summary citation for consortium first author",""
"skipped","Thu Nov 24 20:13:16 GMT 2022","Thu Nov 24 20:13:16 GMT 2022","1","chromium","features/wheresMyGene.test.ts","Where's My Gene > tissue rollup","","","does NOT show tissues on the deny list",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","1","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > listPartiallySelectedCategoryValues","","","doesn't list organ as partially selected when single child tissue is selected",""
"passed","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:07 GMT 2022","39","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildMultiPanelCategoryView > system (containing no organs) selected","","","includes renal system partially selected, blood selected",""
"passed","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:07 GMT 2022","5","chromium","features/filter/utils.test.ts","filter > Format Number to Scale","","","formats 1940000 to 1.9M",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","3","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > onRemoveMultiPanelCategoryValueTag","","","removes system and all descendant organs of system",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","3","chromium","common/queries/filter.test.ts","filter > Calculate Recency","","","calculates recency for collection with revised at",""
"skipped","Thu Nov 24 20:13:16 GMT 2022","Thu Nov 24 20:13:16 GMT 2022","1","chromium","features/wheresMyGene.test.ts","Where's My Gene","","","delete genes and cell types",""
"skipped","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:07 GMT 2022","1","chromium","features/geneSets.test.ts","","","","Gene sets",""
"passed","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:07 GMT 2022","2","chromium","features/filter/utils.test.ts","filter > Format Number to Scale","","","formats 1950000 to 2M",""
"passed","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:07 GMT 2022","39","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildMultiPanelCategoryView > system, all system's organs and tissues selected with one tissue not selected","","","includes hematopoietic system and blood partially selected and bone marrow, spleen, thymus, blood non-specific, umbilical cord blood selected",""
"passed","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:07 GMT 2022","1","chromium","features/filter/utils.test.ts","filter > Format Number to Scale","","","formats 1600 to 1.6k",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","4","chromium","common/queries/filter.test.ts","filter > Calculate Months Since Publication","","","calculates thirteen months since publication",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","8","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > overrideSelectedParents","","","doesn't override tissue",""
"passed","Thu Nov 24 20:13:06 GMT 2022","Thu Nov 24 20:13:16 GMT 2022","9611","chromium","features/tosAndPrivacy.test.ts","ToS and Privacy","","","renders the the Privacy Page",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","15","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Curated Ontology Category > buildNextOntologyCategoryFilters","","","selects leaf HsapDv:0000003, all siblings and aunt currently selected",""
"passed","Thu Nov 24 20:12:05 GMT 2022","Thu Nov 24 20:12:05 GMT 2022","19","chromium","common/queries/filter.test.ts","filter > Calculate Months Since Publication","","","calculates one month since publication",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","3","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > overrideSelectedParents","","","overrides multiple systems with organ",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","4","chromium","common/queries/filter.test.ts","filter > Calculate Months Since Publication","","","calculates six months since publication",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","4","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > overrideSelectedParents > cell type","","","doesn't override within cell subclasses",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","5","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > listMultiPanelSelectedViews","","","builds selected views for selected system, partially selected organs, selected tissue",""
"skipped","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","0","chromium","features/collection/collection.test.ts","Collection > Logged In Tests > Publish a collection > when no dataset","","","shows disabled publish button",""
"passed","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:07 GMT 2022","1","chromium","features/filter/utils.test.ts","filter > Format Number to Scale","","","formats 1995 to 2k",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","2","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > listMultiPanelSelectedViews","","","builds selected views for selected system and selected organs except those for a selected tissue",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","4","chromium","common/queries/filter.test.ts","filter","","","calculates 23 months since publication",""
"passed","Thu Nov 24 20:12:06 GMT 2022","Thu Nov 24 20:12:06 GMT 2022","12","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > listPartiallySelectedCategoryValues","","","doesn't lists tissue as partially selected if only tissue is selected",""
"passed","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:57 GMT 2022","49705","chromium","features/homepage.test.ts","Homepage","","","renders the expected elements",""
"passed","Thu Nov 24 20:12:07 GMT 2022","Thu Nov 24 20:12:07 GMT 2022","6","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildMultiPanelCategoryView > system (containing no organs) selected","","","includes all systems, no organs and filtered tissues",""
